match_number,phase,round_name,group_name,kickoff_date_et,kickoff_time_et,kickoff_timezone_source,kickoff_at_utc,kickoff_at_oslo,kickoff_local,local_timezone,venue,city,country,home_slot,away_slot,home_team_code,away_team_code,home_team,away_team,home_score,away_score,is_finished,result_note,source_url
85,knockout,round_of_32,,2026-07-02,23:00,America/New_York,2026-07-03T03:00:00Z,2026-07-03T05:00:00+02:00,2026-07-02T20:00:00-07:00,America/Vancouver,BC Place,Vancouver,Canada,1B,3EFGIJ,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
86,knockout,round_of_32,,2026-07-03,18:00,America/New_York,2026-07-03T22:00:00Z,2026-07-04T00:00:00+02:00,2026-07-03T18:00:00-04:00,America/New_York,Hard Rock Stadium,Miami,USA,1J,2H,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
87,knockout,round_of_32,,2026-07-03,21:30,America/New_York,2026-07-04T01:30:00Z,2026-07-04T03:30:00+02:00,2026-07-03T20:30:00-05:00,America/Chicago,GEHA Field at Arrowhead Stadium,Kansas City,USA,1K,3DEIJL,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
88,knockout,round_of_32,,2026-07-03,14:00,America/New_York,2026-07-03T18:00:00Z,2026-07-03T20:00:00+02:00,2026-07-03T13:00:00-05:00,America/Chicago,AT&T Stadium,Dallas,USA,2D,2G,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
89,knockout,round_of_16,,2026-07-04,17:00,America/New_York,2026-07-04T21:00:00Z,2026-07-04T23:00:00+02:00,2026-07-04T17:00:00-04:00,America/New_York,Lincoln Financial Field,Philadelphia,USA,W74,W77,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
90,knockout,round_of_16,,2026-07-04,13:00,America/New_York,2026-07-04T17:00:00Z,2026-07-04T19:00:00+02:00,2026-07-04T12:00:00-05:00,America/Chicago,NRG Stadium,Houston,USA,W73,W75,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
91,knockout,round_of_16,,2026-07-05,16:00,America/New_York,2026-07-05T20:00:00Z,2026-07-05T22:00:00+02:00,2026-07-05T16:00:00-04:00,America/New_York,MetLife Stadium,New York/New Jersey,USA,W76,W78,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
92,knockout,round_of_16,,2026-07-05,20:00,America/New_York,2026-07-06T00:00:00Z,2026-07-06T02:00:00+02:00,2026-07-05T18:00:00-06:00,America/Mexico_City,Estadio Azteca,Mexico City,Mexico,W79,W80,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
93,knockout,round_of_16,,2026-07-06,15:00,America/New_York,2026-07-06T19:00:00Z,2026-07-06T21:00:00+02:00,2026-07-06T14:00:00-05:00,America/Chicago,AT&T Stadium,Dallas,USA,W83,W84,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
94,knockout,round_of_16,,2026-07-06,20:00,America/New_York,2026-07-07T00:00:00Z,2026-07-07T02:00:00+02:00,2026-07-06T17:00:00-07:00,America/Los_Angeles,Lumen Field,Seattle,USA,W81,W82,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
95,knockout,round_of_16,,2026-07-07,12:00,America/New_York,2026-07-07T16:00:00Z,2026-07-07T18:00:00+02:00,2026-07-07T12:00:00-04:00,America/New_York,Mercedes-Benz Stadium,Atlanta,USA,W86,W88,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
96,knockout,round_of_16,,2026-07-07,16:00,America/New_York,2026-07-07T20:00:00Z,2026-07-07T22:00:00+02:00,2026-07-07T13:00:00-07:00,America/Vancouver,BC Place,Vancouver,Canada,W85,W87,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
97,knockout,quarter_final,,2026-07-09,16:00,America/New_York,2026-07-09T20:00:00Z,2026-07-09T22:00:00+02:00,2026-07-09T16:00:00-04:00,America/New_York,Gillette Stadium,Boston,USA,W89,W90,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
98,knockout,quarter_final,,2026-07-10,15:00,America/New_York,2026-07-10T19:00:00Z,2026-07-10T21:00:00+02:00,2026-07-10T12:00:00-07:00,America/Los_Angeles,SoFi Stadium,Los Angeles,USA,W93,W94,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
99,knockout,quarter_final,,2026-07-11,17:00,America/New_York,2026-07-11T21:00:00Z,2026-07-11T23:00:00+02:00,2026-07-11T17:00:00-04:00,America/New_York,Hard Rock Stadium,Miami,USA,W91,W92,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
100,knockout,quarter_final,,2026-07-11,21:00,America/New_York,2026-07-12T01:00:00Z,2026-07-12T03:00:00+02:00,2026-07-11T20:00:00-05:00,America/Chicago,GEHA Field at Arrowhead Stadium,Kansas City,USA,W95,W96,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
101,knockout,semi_final,,2026-07-14,15:00,America/New_York,2026-07-14T19:00:00Z,2026-07-14T21:00:00+02:00,2026-07-14T14:00:00-05:00,America/Chicago,AT&T Stadium,Dallas,USA,W97,W98,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
102,knockout,semi_final,,2026-07-15,15:00,America/New_York,2026-07-15T19:00:00Z,2026-07-15T21:00:00+02:00,2026-07-15T15:00:00-04:00,America/New_York,Mercedes-Benz Stadium,Atlanta,USA,W99,W100,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
103,knockout,third_place,,2026-07-18,17:00,America/New_York,2026-07-18T21:00:00Z,2026-07-18T23:00:00+02:00,2026-07-18T17:00:00-04:00,America/New_York,Hard Rock Stadium,Miami,USA,L101,L102,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
104,knockout,final,,2026-07-19,15:00,America/New_York,2026-07-19T19:00:00Z,2026-07-19T21:00:00+02:00,2026-07-19T15:00:00-04:00,America/New_York,MetLife Stadium,New York/New Jersey,USA,W101,W102,,,,,,,FALSE,,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
